autor,titlu,strofa,text,nr_versuri
Tudor Arghezi,Cantilenă,3,"Începe noaptea. Unde-i dimineața ?
E frig în suflet, sufletu-i sărac
Și nu pot ști cu ce să-l mai îmbrac.
Mi-e mintea înghețată.
Am fost cîndva și n-am fost niciodată ?
Măritule, blajinule, tu poți
Să mi-i ucizi în parte, ca eu să-i plîng pe toți.",7
Tudor Arghezi,Catrene și distihuri,1,"Oricare-i timpul și felul de doctrină,
Se-mparte lumea-n două, în multă și puțină.",2
Tudor Arghezi,Catrene și distihuri,2,"Trîmbiți, clopote, laute, tobe, flaute, tipsii -
Noaptea s-a tîrît prin ceață, printre hăuri și vecii.",2
Tudor Arghezi,Catrene și distihuri,3,"Și azi aceleași ceasuri mereu, fără sfîrșit,
Ca niște amfori negre, pe umeri, de granit.",2
Tudor Arghezi,Catrene și distihuri,4,"Din viața voastră goală făceați întîietate
Că fiecare ține să aibă el dreptate,
Dreptatea mea-i supusă dreptății tale ș-între
Dreptățile-ntristate domnesc doar cele mîndre.",4
Tudor Arghezi,Catrene și distihuri,5,"E oltean, însă, din fire,
Nu-i la minte prea subțire,
Și desigur a mințit
Ca să crezi că nu-i corcit.",4
Tudor Arghezi,Catrene și distihuri,6,"Pe cît crești și ești mai mare
Te obraznicești mai tare.",2
Tudor Arghezi,Catrene și distihuri,7,"După cazne de un an
Poți să scrii și un roman.",2
Tudor Arghezi,Catrene și distihuri,8,"Nu auzi nimic, măcar
Ia urechi de la măgar.",2
Tudor Arghezi,Catrene și distihuri,9,"De vorbește
Te stropește,
Dacă tace
Nici atît nu poate face.",4
Tudor Arghezi,Cel ce gândește singur,1,"Cel ce gândește singur și scormone lumina
A dat o viață nouă și-um om de fier, mașina,
Ființă zămislită cu gândul și visareea,
Neînchipuit mai tare ca brațul și spinarea.",4
Tudor Arghezi,Cel ce gândește singur,2,"Cu ea brăzdezi pământul în lung și lat și sameni,
Și una ține locul la mii de mii de oameni
Topitorii, cuptoare, mori, puțuri, fierăstraie,
O sârmă de lumină, o țeavă vâlvătaie,",4
Tudor Arghezi,Cel ce gândește singur,3,"O lampă duce graiul și dă-n văzduhuri vești
Că omul zămislește puterea din povești,
Se face depărtarea mai scurtă decât pasul,
La mii de poști s-aude și cunoaște glasul.",4
Tudor Arghezi,Cel ce gândește singur,4,"Vorbești cu fundul lumii, la tine, din odaie,
Secunda-ntrece veacul și timpul se-ncovoaie:
Pe-o sfoară cât e firul de păr și se agață
Vecia, nesfârșitul, pe un crâmpei de ață.",4
Tudor Arghezi,Cel ce gândește singur,5,"Se-nalță slabul, omul, pe aripi în Țării
Și-aduce de acolo noi legi și mărturii.
Iată-l, scoboară-n hăuri cu coiful lui rotund
Și râcâie oceanele pe fund,",4
Tudor Arghezi,Cel ce gândește singur,6,"El trece prin vâlvoare, prin cremene și gheață,
Pornise de cu seară, s-a-ntors de dimineață,
Și nu l-a ars dogoarea, nu l-a-mpietrit nici greul,
E țara lui pământul și l-a-mpletit cu cerul.",4
Tudor Arghezi,Cel ce gândește singur,7,"Și-aprinde de lângă Argeș, luleaua, și văpaia
Din pipă încă-i arde, ajung pe Himalaia,
Și pâinea coaptă-acasă, într-un cuptor domol,
I-o gustă pinguinii tot proaspătă, la Pol,",4
Tudor Arghezi,Cel ce gândește singur,8,"Și, în sfârșit, urmașul lui Prometeu, el, omul,
A prins și taina mare, a tainelor, atomul.
El poate omenirea, în câteva secunde,
S-o-ntinerească nouă pe veci, ori s-o scufunde.",4
Tudor Arghezi,Cel ce gândește singur,9,"E timpul, slugă veche și robul celui rău,
Tu, omule și frate, să-ți fii stăpânul tău.",2
Tudor Arghezi,Cinci pisici,1,"Am în grădină cinci pisici
Din care două sînt pisoi,
Ele - gingașe, moi și mici,
Ei - dolofani și zdraveni amîndoi;",4
Tudor Arghezi,Cinci pisici,2,"Spinări, picioare,- ncheieturi ca fierul,
Unghii de șoim și colții lungi, de fiare,
N-ar cuteza nici șarpele, nici jderul
Să simtă-n ceafă crîncenele ghiare.",4
Tudor Arghezi,Cinci pisici,3,"Cînd calcă-n flori și dau să se oprească
S-asculte parcă un murmur pierdut,
Le cade ca pe-o scoarță oltenească
Țesută umbra printre foi de dud.",4
Tudor Arghezi,Cinci pisici,4,"Sunt tigrii mei, de veche obîrșie
Și mă mîndresc cu neamul lor cel mare,
Și bărbătesc și blînd la duioșie
Și-ntr-adevăr țesuți ca pe covoare.",4
Tudor Arghezi,Cinci pisici,5,"Dar de ajuns să latre un cățel,
Că fug în pom și uită și de mine.
Tigri de junglă neagră, stați nițel,
Că mi-ați făcut mîndria de rușine.",4
Tudor Arghezi,Cînd veniră,1,"Cînd veniră furii în ogradă
Ei n-au venit întîi grămadă.
Nu au venit cum vin, deobște, hoții
Cu ceata și-odată cu toții.
Ograda, satul și cătunul
I-au cunoscut, venind, pe cîte unul.
Și n-au venit nici noaptea, pe furiș,
Feriți de drum și luminiș.
Ei au venit cum vin vecinii,
În toiul zilei.  Se coceau ciorchinii
Și atîrnau din frunze poame coapte.
Era mai multă zi decît fusese noapte
Și n-ațipeau, că-n deal se și trezea
Ziua de aur în grădina mea.
M-au întrebat ce-mi fac copiii.
Unii munceau prin fundurile viei,
Alții-i zăream pe scule cum se-ndoaie
Biruitori în luncă și-n zăvoaie,
Cu seceri de scîntei și cu topoare noi.
În lanurile de trifoi
Vedeam și coasele cum zboară,
Tăind nutrețul meu a patra oară.
Cum auzeam că spun și-ntreabă
Păreau să fie oamenii de treabă.",24
Tudor Arghezi,Cînd veniră,2,"Dar cîinii ridicați în bătătură
Iau dus lătrați, din gură-n gură.
Cîinii mei proști, Potaia și Lățosul,
Citesc cu nasul și mirosul.",4
Tudor Arghezi,Cirip,1,"Veniră pîlcuri de Florii,
Din Sfîntul  Munte și Ierusalim,
Cu călăuza unui serafim,
Peste prăpăstii, ape și cîmpii.",4
Tudor Arghezi,Cirip,2,"De Paște va trebui să fie
Praznice sfinte în Tării,
Clopote, coruri, liturghie
Și îngeri mulți, sute și mii.",4
Tudor Arghezi,Cirip,3,"Doi heruvimi au tras la noi
Și au găsit un cuib de lut
Gata făcut, bine făcut,
Cu cîlț ușor și scame moi.",4
Tudor Arghezi,Cirip,4,"Copiii ni s-au deșteptat
Cu stoluri în ferestre și pridvoare,
Și sfeșnicele s-au aflat,
Ale livezilor, aprinse cu o floare.",4
Tudor Arghezi,Cirip,5,"Văzduhul sună în viori
Subt ștreașinile-adînci și frînte,
Ele-a cîntare au purces din zori,
Căci oamenii-au uitat să cînte.",4
Tudor Arghezi,Creion 1,1,"Fă-te, suflete, copil
Și strecoară-te tiptil
Prin porumb cu moț și ciucuri,
Ca să poți să te mai bucuri.",4
Tudor Arghezi,Creion 1,2,"Strînge slove, cărți și pană,
Dă-le toate de pomană
Unui nou învățăcel,
Să se chinuie și el.",4
Tudor Arghezi,Creion 1,3,"Gîndul n-o să te mai fure
Prin zăvoaie și pădure,
Cu ecoul de cuvinte
Care-ngînă și te minte.",4
Tudor Arghezi,Creion 1,4,"Cînd tristețile te dor,
Uită tot și tîlcul lor",2
Tudor Arghezi,Creion 2,1,"În grădina-n care scriu,
Cerne aur argintiu
O tipsie ca de jar,
Spînzurată-ntr-un arțar.",4
Tudor Arghezi,Creion 2,2,"Florile trezite mi-s.
Aripile și-au deschis,
Și desprinse din răzoare,
Stoluri lungi încep să zboare.",4
Tudor Arghezi,Creion 3,1,"Luna umblă printre case
Îmbrăcată-n ceață fină.
Ornicele bat de șase.
Fiecare-i lună plină.",4
Tudor Arghezi,Creion 3,2,"Noi ne ducem printre luni,
Filosofi și domnișoare,
Culegînd prin foi de pruni
Stele albe, mărțișoare.",4
Tudor Arghezi,Creion 3,3,"Îmbatîndu-se cu ochii
Își întoarce capul, una,
Sprintenă prin faldul rochii.
Și atunci bătu și luna.",4
Tudor Arghezi,Creion 4,1,"Printre castanii puși la rînd
Bolnavii cască meditînd
În vînăta lumină ștearsă,
De faclă și feștilă arsă.",4
Tudor Arghezi,Creion 4,2,"Ei se mai sprijină de viață
Urziți în sita firului de ceață,
Și-i sorb încet, în moalele părete,
Văzduhurile sure, de burete.",4
Tudor Arghezi,Creion 4,3,"Ce caută subt negură și frunză,
Ține să tacă-n lut și să se-ascunză.",2
Tudor Arghezi,Creion 4,4,"Mi-a fost cîndva și mie dor
De lucrul sufletului lor.",2
Tudor Arghezi,Creion 5,1,"E-o burtă fiecare, îmbrăcată,
Și burta-ncepe de la beregată,
Subt altă burtă-ntre  urechi,
Osînză nouă pe slănini mai vechi.
A treia burtă și a patra burtă
Făptura lor mai lată decît scurtă
Se poartă în nădragii de la spate
Ca doi dăsagi de mare sănătate.
Sătui și grași între flămînzi,
Din ce în ce mai plini și mai rotunzi.
Cînd toată lumea-i pielea de pe oase
Lor li se fac și buzele mai groase
Și pleoapele și nasul, și ochii blegi agale,
Intră-n desenul altor animale,
Căci și surîsul pripășit pe gură
Nu se mai ține de figură
Și parcă rătăcește nevăzut
Pe zîmbetul mai strîns, de la șezut.",18
Tudor Arghezi,Crucea veche,1,"Crucea veche de la drum
Este cum s-a pomenit,
Cu Hristos cel răstignit,
Zugrăvit cu terci de fum.",4
Tudor Arghezi,Crucea veche,2,"Turmele și carele,
Vremea, vîntul trec și pier,
Ea stă singură la cer,
Ca Acela Carele ...",4
Tudor Arghezi,Crucea veche,3,"Lemnul i se tot dăvingă,
Zugrăveala se mănîncă,
Trupul se cunoaște încă,
Povîrnit pe mîna stîngă.",4
Tudor Arghezi,Crucea veche,4,"Toamna, grija nu știu cui
Mai bătea cîte un cui,
Și c-un deget sau cu două
Da cu albăstreală nouă.",4
Tudor Arghezi,Cucuveaua,1,"E noapte, șoapte trec pe baltă,
Tușește clopotul în turn,",2
Tudor Arghezi,Cucuveaua,2,"Vibrează lung
Saturn
Saturn
O cucuvea pe bolta-naltă.
Saturn,
Saturn, răsună-n vînt.
Dantele negre deșirate
Se-ntind pe pietrele curate,
Pe turnul alb cu vîrful frînt.
Nici-un cuvînt, e vînt, e vînt.
Din gang ies plete de-ntuneric.
E rîs, e plînsul ei himeric.
E noapte, șoapte trec pe baltă,
Saturn,
Saturn, vibrează-n vînt.
Nici un cuvînt, e vînt, e vînt.",16
Tudor Arghezi,Cuprinsul,1,"Pămîntul, țarina, bucatele,
Puse-n spinarea mea cu toatele,
Oameni și turme și vite,
Brazdele zguduite,
Potecile, miriștea,
Durerile, neliniștea,
Ploaia, negura, vîntul,
Hobotul, spaima, frămîntul.",8
Tudor Arghezi,Cuprinsul,2,"Cum a intrat în mine țara toată ?
Cum a-ncăput o țară-ntr-o lopată ?
Pădurile într-un ghiveci de lut ?
O mare-ntreagă-ntr-un pahar băut ?",4
Tudor Arghezi,Cuprinsul,3,"Atuncea, dimpreună cu ele-n stropul meu
De zmîrc, a început și Dumnezeu.",2
Tudor Arghezi,Cuvântul,1,"Vrui, cititorule, să-ți fac un dar,
O carte pentru buzunar,
O carte mică, o carticică",3
Tudor Arghezi,Cuvântul,2,"Din slove am ales micile
Și din înțelesuri furnicile.
Am voit să umplu celule
Cu suflete de molecule.",4
Tudor Arghezi,Cuvântul,3,"Mi-a trebuit un violoncel:
Am ales un brotăcel
Pe-o foaie de trestie-ngustă.
O harpă: am ales o lăcustă,
Cimpoiul trebuia să fie un scatiu
Și nu mai știu...",6
Tudor Arghezi,Cuvântul,4,"Farmece aș fi voit să fac
Și printr-o ureche de ac
Să strecor pe-un fir de ață
Micșorata, subțiata și nepipăita viață
Până-n mâna, cititorule, a dumitale.",5
Tudor Arghezi,Cuvântul,5,"Măcar câteva crâmpeie,
Măcar o țandără de curcubeie,
Măcar nițică scamă de zare,
Nițică nevinovăție, nițică depărtare.",4
Tudor Arghezi,Cuvântul,6,"Aș fi voit să culeg drojdii de rouă
Într-o cărticică nouă,
Parfumul umbrei și cenușa lui.
Nimicul nepipăit să-l caut vrui,
Acela care tresare
Nici nu știi de unde și cum.",6
Tudor Arghezi,Cuvântul,7,Am răscolit pulberi de fum...,1
Tudor Arghezi,Cuvinte stricate,1,"Toate
Cuvintele mele sunt întortochete
Și s-au îmbătat.
Le vezi ? Au căzut, s-au sculat
Au vrut să alerge și să joace,
Dar beția le-a prăvălit încoace.
Nu mai știu ce spun și îs
Bolnave de rîs.",8
Tudor Arghezi,Cuvinte stricate,2,"S-au stricat cuvintele mele !
Umblă prin mocirle cu stele
De cositor
După un mărțișor,
Și-ar voi să culeagă roade
Fîstîcite și neroade
Din sălcii nici verzi.",7
Tudor Arghezi,Cuvinte stricate,3,"Cuvintele să nu mi le mai dezmierzi,
Să nu le mai spuie agale
Buzele tale,
Să nu le mai cînte cumva
Vocea ta
Și pe cobză deștele.",6
Tudor Arghezi,Cuvinte stricate,4,Hulește-le !,1
Tudor Arghezi,De ce?,1,"Mă-ntrebi: de ce plâng?
Am ascultat un poem.
Mă-ntrebi: de ce plâng?
Am auzit un cântec.
Mă-ntrebi: de ce plâng?
Mi-a povestit un nevoiaș suferința lui.
De ce am plâns?
Toate au atins răspântiile vremii cu tălmăcirea
frumoasă în cuvinte, vioară și suspin, a durerii de a simți,
de a nu ști și de a te întrista.
Am plâns de frumusețe.",11
Tudor Arghezi,De paști,1,"La toate lucarnele și balcoanele
Au scos din cer îngerii icoanele
Și-au aprins pe scări
Candele și lumânări.",4
Tudor Arghezi,De paști,2,"Orașele de sus, în sărbătoare,
Au întins velințe și covoare,
Și ard în potire
Mireasmă subțire.",4
Tudor Arghezi,De paști,3,"Și din toate ferestrele odată,
Mii și sute de mii,
Heruvimii fac cu mâna bucălată
La somnoroșii copii.",4
Tudor Arghezi,De-a v-ați ascuns,1,"Dragii mei, o să mă joc odată
Cu voi, de-a ceva ciudat.
Nu știu când o să fie asta, tată,
Dar, hotărât, o să ne jucăm odată,
Odată, poate, după scăpătat.",5
